m_inc,b_inc,mapes
2.748933854,7.738941089,7.945264148
2.753933854,7.743941089,7.788343584
2.758933854,7.748941089,7.631423021
2.763933854,7.753941089,7.474679509
2.768933854,7.758941089,7.319660639
2.773933854,7.763941089,7.164641769
2.778933854,7.768941089,7.009622899
2.783933854,7.773941089,6.854604029
2.788933854,7.778941089,6.699585159
2.793933854,7.783941089,6.544566289
2.798933854,7.788941089,6.389547419
2.803933854,7.793941089,6.234528549
2.808933854,7.798941089,6.079509679
2.813933854,7.803941089,5.924490809
2.818933854,7.808941089,5.769471939
2.823933854,7.813941089,5.614453069
2.828933854,7.818941089,5.459434199
2.833933854,7.823941089,5.304415329
2.838933854,7.828941089,5.149396459
2.843933854,7.833941089,4.994377589
2.848933854,7.838941089,4.839358719
2.853933854,7.843941089,4.684339849
2.858933854,7.848941089,4.529320979
2.863933854,7.853941089,4.374302109
2.868933854,7.858941089,4.219283239
2.873933854,7.863941089,4.064264369
2.878933854,7.868941089,3.909245499
2.883933854,7.873941089,3.754226629
2.888933854,7.878941089,3.599207759
2.893933854,7.883941089,3.444188889
2.898933854,7.888941089,3.289170019
2.903933854,7.893941089,3.134151149
2.908933854,7.898941089,2.979132279
2.913933854,7.903941089,2.824113409
2.918933854,7.908941089,2.669094539
2.923933854,7.913941089,2.514075669
2.928933854,7.918941089,2.359056799
2.933933854,7.923941089,2.204037929
2.938933854,7.928941089,2.049019059
2.943933854,7.933941089,1.894000189
2.948933854,7.938941089,1.738981319
2.953933854,7.943941089,1.583962449
2.958933854,7.948941089,1.428943579
2.963933854,7.953941089,1.275742773
2.968933854,7.958941089,1.123614253
2.973933854,7.963941089,0.972967081
2.978933854,7.968941089,0.824758996
2.983933854,7.973941089,0.690570955
2.988933854,7.978941089,0.57765614
2.993933854,7.983941089,0.485591586
2.998933854,7.988941089,0.439435454
3.003933854,7.993941089,0.466011564
3.008933854,7.998941089,0.540586399
3.013933854,8.003941089,0.652338425
3.018933854,8.008941089,0.7780815
3.023933854,8.013941089,0.907866459
3.028933854,8.018941089,1.039572881
3.033933854,8.023941089,1.180118259
3.038933854,8.028941089,1.325432247
3.043933854,8.033941089,1.472360381
3.048933854,8.038941089,1.619288516
3.053933854,8.043941089,1.767990637
3.058933854,8.048941089,1.917923395
3.063933854,8.053941089,2.067856152
3.068933854,8.058941089,2.21778891
3.073933854,8.063941089,2.367721667
3.078933854,8.068941089,2.517654424
3.083933854,8.073941089,2.667587182
3.088933854,8.078941089,2.817519939
3.093933854,8.083941089,2.967452697
3.098933854,8.088941089,3.117385454
3.103933854,8.093941089,3.267318212
3.108933854,8.098941089,3.417307978
3.113933854,8.103941089,3.56967571
3.118933854,8.108941089,3.722043443
3.123933854,8.113941089,3.874872776
3.128933854,8.118941089,4.029329864
3.133933854,8.123941089,4.183786952
3.138933854,8.128941089,4.33824404
3.143933854,8.133941089,4.492701128
3.148933854,8.138941089,4.647158216
3.153933854,8.143941089,4.801615304
3.158933854,8.148941089,4.956072392
3.163933854,8.153941089,5.11052948
3.168933854,8.158941089,5.264986568
3.173933854,8.163941089,5.419443656
3.178933854,8.168941089,5.573900744
3.183933854,8.173941089,5.728357832
3.188933854,8.178941089,5.88281492
3.193933854,8.183941089,6.037272008
3.198933854,8.188941089,6.191729096
3.203933854,8.193941089,6.346186184
3.208933854,8.198941089,6.500643272
3.213933854,8.203941089,6.65510036
3.218933854,8.208941089,6.809557448
3.223933854,8.213941089,6.964014536
3.228933854,8.218941089,7.119109913
3.233933854,8.223941089,7.276030476
3.238933854,8.228941089,7.432951039
3.243933854,8.233941089,7.589871602
